set,start,level_m,agent,model,base_mass,noise,explore,seed,d0,final_err,min_err,t_end,converged,failed,success50,settle_t,frac_softzone_J2,frac_softzone_J4,frac_softzone_J6,qmax_deg_J2,qmax_deg_J4,qmax_deg_J6,frac_atlim,frac_beyond_hw,ori_max,ret
tab7_stoch_65kg,OOD,NaN,rand2,SK_point,65,0,1,12,1.42565007995499,0.229633099449057,0.183861312433373,25,0,0,0,NaN,0,0,0,90,78.4537273293526,43.6018147457286,0.354116706634692,0,0.368976460265906,-11721.5311157414
tab7_stoch_65kg,OOD,NaN,rand2,SK_point,65,0,1,13,1.42565007995499,0.162030814989687,0.136001111273832,25,0,0,0,NaN,0,0,0,90.1574606027302,65.6490155934574,17.9092591023162,0.460431654676259,0,0.370929595684975,-11962.6194294928
tab7_stoch_65kg,OOD,NaN,rand2,SK_point,65,0,1,14,1.42565007995499,0.169679866629622,0.127256266758538,25,0,0,0,NaN,0,0,0,90,71.9850597859243,18.1995277745279,0.401278976818545,0,0.381985022735916,-12456.464496576
tab7_stoch_65kg,OOD,NaN,rand2,SK_point,65,0,1,15,1.42565007995499,0.203582437997026,0.160507763224134,25,0,0,0,NaN,0,0,0,90.6093339617715,77.7253514981822,44.4037046716877,0.262190247801759,0,0.35113737110864,-12756.2293080939
tab7_stoch_65kg,OOD,NaN,rand2,SK_point,65,0,1,16,1.42565007995499,0.230919506653808,0.151054093197628,25,0,0,0,NaN,0,0,0,90,76.3336172836083,45.9310380953276,0.239008792965627,0,0.363178845312738,-12282.9835450998
tab7_stoch_65kg,OOD,NaN,rand2,SK_point,65,0,1,17,1.42565007995499,0.174688429797334,0.0825322689294181,25,0,0,0,NaN,0,0,0,90,65.8654063387869,21.4238304765716,0.287769784172662,0,0.371853325924593,-12448.4618046785
tab7_stoch_65kg,OOD,NaN,rand2,SK_point,65,0,1,18,1.42565007995499,0.215266875812668,0.103776311521481,25,0,0,0,NaN,0,0,0,90,74.1242425262759,38.0745705404233,0.401278976818545,0,0.381826200172887,-11690.2009855864
tab7_stoch_65kg,OOD,NaN,rand2,SK_point,65,0,1,19,1.42565007995499,0.222472717140926,0.140987426845324,25,0,0,0,NaN,0,0,0,90,74.9562578420878,33.4218954833167,0.31814548361311,0,0.371823696165417,-12764.8733967133
tab7_stoch_65kg,OOD,NaN,rand2,SK_point,65,0,1,20,1.42565007995499,0.173863777686623,0.102309373588675,25,0,0,0,NaN,0,0,0,90,71.4724703847605,55.1496566740082,0.31814548361311,0,0.375684399140292,-12677.3985682113
rand2_free650,S00,NaN,rand2,SK_point,650,0,0,0,0.20360400420598,0.0670236177132761,0.060063172664839,25,0,0,0,NaN,0,0,0,18.2492052697842,130,56.5553422426213,0.192645883293365,0,0.00213495240380642,-506.137603495801
rand2_free650,S01,0.1,rand2,SK_point,650,0,0,0,0.115013021741164,0.064760457339392,0.0570146266161872,25,0,0,0,NaN,0,0,0,18.7561032280133,126.99,57.38,0.261390887290168,0,0.00320105578571166,-406.82094438082
rand2_free650,S02,0.1,rand2,SK_point,650,0,0,0,0.102151533089852,0.0672636030305458,0.0291981634293603,25,0,0,0,NaN,0,0,0,19.206083085327,119.85,54.64,0.314948041566747,0,0.00574362787419953,-377.725528432591
rand2_free650,S03,0.2,rand2,SK_point,650,0,0,0,0.191974081337423,0.0679915072849427,0.062908712889853,25,0,0,0,NaN,0,0,0,18.5270376878988,115.63,45.7476139784741,0.297362110311751,0,0.00167886590698459,-507.859912611478
rand2_free650,S04,0.2,rand2,SK_point,650,0,0,0,0.223361666563653,0.0694730636115195,0.0680740860925033,25,0,0,0,NaN,0,0,0,19.51,110.59,41.81,0.341326938449241,0,0.005101681511081,-608.306033392059
rand2_free650,S05,0.35,rand2,SK_point,650,0,0,0,0.352958034212303,0.0716456330166127,0.0556901337244915,25,0,0,0,NaN,0,0,0,35.12,109.01,51.2251156789392,0.173461231015188,0,0.00684097876354028,-710.162473955922
rand2_free650,S06,0.35,rand2,SK_point,650,0,0,0,0.340049671453847,0.0641845901775496,0.0606259195063102,25,0,0,0,NaN,0,0,0,20.681820629156,119.19,31.13,0.510791366906475,0,0.00951798760221792,-690.555106656858
rand2_free650,S07,0.5,rand2,SK_point,650,0,0,0,0.506770613211831,0.0669731591163063,0.0532252151183579,25,0,0,0,NaN,0,0,0,30.28,105.84,47.4052180556438,0.20863309352518,0,0.00938590186623796,-851.599136388151
rand2_free650,S08,0.5,rand2,SK_point,650,0,0,0,0.479926924561044,0.0718972423905078,0.0547741366968156,25,0,0,0,NaN,0,0,0,32.2303019040895,120.26,64.5154268963038,0.0463629096722622,0,0.0103086114100847,-924.422715699413
rand2_free650,S09,0.7,rand2,SK_point,650,0,0,0,0.684969470110724,0.0743750659431704,0.0575577235151144,25,0,0,0,NaN,0,0,0,56.23,127.26,64.8561797377627,0,0,0.0133167793917464,-1124.64133418301
rand2_free650,S10,0.7,rand2,SK_point,650,0,0,0,0.682487871597604,0.068263706994521,0.0354084349240536,25,0,0,0,NaN,0,0,0,38.42,116.13,71.9156792127118,0,0,0.0152033019459578,-934.052041393704
rand2_free650,S11,0.9,rand2,SK_point,650,0,0,0,0.890442425466246,0.0528850766770195,0.0473436771541613,25,0,0,0,NaN,0,0,0,45.23,83.7711085605355,55.74,0.389288569144684,0,0.032024587298614,-2439.34453226573
rand2_free650,S12,0.9,rand2,SK_point,650,0,0,0,0.918717223021182,0.0522810859846795,0.0286849916669958,25,0,0,0,NaN,0,0,0.314948041566747,63.57,99.4146081452587,115.164516821295,0.195843325339728,0,0.0250057218491588,-1342.76610379361
rand2_free650,S13,1.1,rand2,SK_point,650,0,0,0,1.11407113035913,0.0428489669811725,0.040209420761262,25,0,0,1,15.62,0,0,0,58.29,81.1685380966235,22.5932566203107,0.694644284572342,0,0.0415809067007511,-2331.54449095874
rand2_free650,S14,1.1,rand2,SK_point,650,0,0,0,1.10149082991706,0.0385273831093972,0.0385273831093972,25,0,0,1,23.6,0,0,0.807354116706635,80.71,106.510399987918,115.164516821295,0.796962430055955,0,0.0373830995526131,-3135.88294196864
