cond,seed,agent,explore,K1_mse,K2_max,K3_ori_mean,K7_return,completed,stop_reason
mirrored,5,Optimized,1,0.0696322949714542,0.345138685921172,0.0107809725742728,200.114892958501,1,none
mirrored,6,Optimized,1,0.0708515406067202,0.348624514759551,0.0116104983973566,185.505992119983,1,none
mirrored,7,Optimized,1,0.0687387959414937,0.341675851799325,0.0117553439969039,197.946506311122,1,none
mirrored,8,Optimized,1,0.0706777816679054,0.346853115144675,0.0108137908755379,199.137644253834,1,none
mirrored,9,Optimized,1,0.0690842132320203,0.34342864526114,0.0116789569955386,211.888553600097,1,none
mirrored,10,Optimized,1,0.0662615452141193,0.336889658879172,0.0134143073300061,241.082084349076,1,none
delay2,0,Optimized,0,0.00361802923531107,0.176878890047172,0.00767648737286089,1564.53169281672,1,none
delay2,1,Optimized,1,0.00430026770131312,0.189542100206544,0.00706666852409851,1388.44862874966,1,none
delay2,2,Optimized,1,0.00394395835225058,0.182031456129747,0.00754770967038525,1481.35721396729,1,none
delay2,3,Optimized,1,0.0040107790655738,0.185479213945001,0.00731972181432725,1415.88296741082,1,none
delay2,4,Optimized,1,0.00434025986556445,0.186279202622251,0.00710678205811979,1317.45353158198,1,none
delay2,5,Optimized,1,0.00417053190907536,0.186889625378045,0.00655733428224014,1415.08510108049,1,none
delay2,6,Optimized,1,0.00433058214465444,0.188692420863006,0.00731480885506374,1408.74079442421,1,none
delay2,7,Optimized,1,0.00377282866608209,0.179151453969631,0.00774501762439415,1479.28159681452,1,none
delay2,8,Optimized,1,0.00430315292658426,0.188538370416847,0.00701802649356435,1509.75449198162,1,none
delay2,9,Optimized,1,0.00384664281371298,0.181241541460958,0.0075977976386292,1464.51638980704,1,none
delay2,10,Optimized,1,0.00369057538504448,0.179420920718448,0.00815114173741828,1502.75052754157,1,none
damp2,0,Optimized,0,0.00357216047671168,0.176134283029457,0.00768577649445755,1593.08362366292,1,none
damp2,1,Optimized,1,0.00409472291103395,0.185294999551824,0.00718269782755379,1527.96454393384,1,none
damp2,2,Optimized,1,0.00386295587577184,0.181342880854764,0.00760705606044402,1534.98528335203,1,none
damp2,3,Optimized,1,0.00386043516562967,0.183798394129275,0.00742865891567583,1540.43055969335,1,none
damp2,4,Optimized,1,0.00399726122507831,0.183386187715627,0.00752247895493252,1528.07259781489,1,none
damp2,5,Optimized,1,0.00399386944933286,0.183869098333729,0.00687539870890271,1534.94667631398,1,none
damp2,6,Optimized,1,0.00420497770195948,0.186934378636997,0.00738520721156,1519.54390172153,1,none
damp2,7,Optimized,1,0.00367740931191574,0.17770608021208,0.00785867046725867,1553.31592642732,1,none
damp2,8,Optimized,1,0.00421825272662483,0.187253433075518,0.00704184073786969,1526.386557565,1,none
damp2,9,Optimized,1,0.00372118277241231,0.180306387545369,0.00767985187559673,1537.98399332324,1,none
damp2,10,Optimized,1,0.00362530701114182,0.178270530238852,0.00818986107962515,1566.34715675007,1,none
nominal,0,Trajectory,0,0.00680629580316678,0.227700057862863,0.00419558657068953,1440.247836888,1,none
nominal,1,Trajectory,1,0.0068162610310675,0.228153355732717,0.00420573669695455,1440.59407607438,1,none
nominal,2,Trajectory,1,0.00676902779463668,0.22767084681436,0.0042741169687816,1444.65369701357,1,none
nominal,3,Trajectory,1,0.00678196597308142,0.227762686616492,0.00420433404693151,1441.85634096469,1,none
nominal,4,Trajectory,1,0.00681137482164739,0.227752421809245,0.00424146347293296,1437.53762847685,1,none
nominal,5,Trajectory,1,0.00683826459077998,0.228107643882051,0.00407847050554166,1437.3255845223,1,none
nominal,6,Trajectory,1,0.00681333763826277,0.227741257777522,0.00418307284110118,1440.51848116621,1,none
nominal,7,Trajectory,1,0.00676406862112941,0.227474340476939,0.00424703130373666,1444.81415756649,1,none
nominal,8,Trajectory,1,0.00683358539791248,0.228093877279449,0.00418318687322287,1437.50592580486,1,none
nominal,9,Trajectory,1,0.00679566474637793,0.22770225992106,0.00424211639180674,1440.67528542347,1,none
nominal,10,Trajectory,1,0.00676044745838713,0.227180965278854,0.00431394435029001,1441.94208218915,1,none
mirrored,0,Trajectory,0,0.0808951336058315,0.370105886935521,0.00902655060003501,189.409392538206,1,none
