SpaceKinova eingerichtet: C:\Users\Deermste\Documents\FraUas\BachelorThesis\Matlab
Starting parallel pool (parpool) using the 'Processes' profile ...
Preserving jobs with IDs: 2 because they contain crash dump files.
You can use 'delete(myCluster.Jobs)' to remove all jobs created with profile Processes. To create 'myCluster' use 'myCluster = parcluster('Processes')'.
Connected to parallel pool with 8 workers.
D10: 40 Hz, Seed 0, 1000 Episoden, 8 Worker, Solver 0.005 s
Episode:  72/1000 | Episode reward:  -327.60 | Episode steps:  322 | Average reward:  -306.30 | Step Count: 24136 | Episode Q0:    44.09
Episode:  73/1000 | Episode reward:  -338.47 | Episode steps:  295 | Average reward:  -309.95 | Step Count: 24431 | Episode Q0:    44.09
Episode:  74/1000 | Episode reward:  -125.92 | Episode steps:  340 | Average reward:  -309.19 | Step Count: 24771 | Episode Q0:    44.09
Episode:  75/1000 | Episode reward:  -306.08 | Episode steps:  315 | Average reward:  -306.30 | Step Count: 25086 | Episode Q0:    44.09
Episode:  76/1000 | Episode reward:  -276.86 | Episode steps:  333 | Average reward:  -310.41 | Step Count: 25419 | Episode Q0:    44.09
Episode:  77/1000 | Episode reward:  -334.04 | Episode steps:  340 | Average reward:  -307.79 | Step Count: 25759 | Episode Q0:    54.15
Episode:  78/1000 | Episode reward:  -286.02 | Episode steps:  311 | Average reward:  -301.69 | Step Count: 26070 | Episode Q0:    54.15
Episode:  79/1000 | Episode reward:  -354.54 | Episode steps:  314 | Average reward:  -304.59 | Step Count: 26384 | Episode Q0:    54.15
Episode:  80/1000 | Episode reward:  -248.04 | Episode steps:  340 | Average reward:  -300.46 | Step Count: 26724 | Episode Q0:    54.15
Episode:  81/1000 | Episode reward:  -340.18 | Episode steps:  340 | Average reward:  -302.81 | Step Count: 27064 | Episode Q0:    54.15
Episode:  82/1000 | Episode reward:  -307.20 | Episode steps:  256 | Average reward:  -298.03 | Step Count: 27320 | Episode Q0:    54.15
Episode:  83/1000 | Episode reward:  -270.89 | Episode steps:  294 | Average reward:  -302.44 | Step Count: 27614 | Episode Q0:    54.15
Episode:  84/1000 | Episode reward:  -302.94 | Episode steps:  340 | Average reward:  -306.98 | Step Count: 27954 | Episode Q0:    52.97
Episode:  85/1000 | Episode reward:  -208.96 | Episode steps:  340 | Average reward:  -301.70 | Step Count: 28294 | Episode Q0:    52.97
Episode:  86/1000 | Episode reward:  -212.59 | Episode steps:  340 | Average reward:  -296.94 | Step Count: 28634 | Episode Q0:    52.97
Episode:  87/1000 | Episode reward:  -298.89 | Episode steps:  340 | Average reward:  -291.39 | Step Count: 28974 | Episode Q0:    52.97
Episode:  88/1000 | Episode reward:  -382.47 | Episode steps:  334 | Average reward:  -292.26 | Step Count: 29308 | Episode Q0:    52.97
Episode:  89/1000 | Episode reward:  -244.57 | Episode steps:  340 | Average reward:  -289.93 | Step Count: 29648 | Episode Q0:    52.97
Episode:  90/1000 | Episode reward:  -230.14 | Episode steps:  328 | Average reward:  -287.92 | Step Count: 29976 | Episode Q0:    47.39
Episode:  91/1000 | Episode reward:  -230.33 | Episode steps:  340 | Average reward:  -289.35 | Step Count: 30316 | Episode Q0:    47.39
Episode:  92/1000 | Episode reward:  -315.73 | Episode steps:  340 | Average reward:  -288.38 | Step Count: 30656 | Episode Q0:    47.39
Episode:  93/1000 | Episode reward:  -218.15 | Episode steps:  340 | Average reward:  -288.04 | Step Count: 30996 | Episode Q0:    47.39
Episode:  94/1000 | Episode reward:  -223.13 | Episode steps:  340 | Average reward:  -283.19 | Step Count: 31336 | Episode Q0:    47.39
Episode:  95/1000 | Episode reward:  -298.97 | Episode steps:  299 | Average reward:  -283.62 | Step Count: 31635 | Episode Q0:    47.39
Episode:  96/1000 | Episode reward:  -345.08 | Episode steps:  316 | Average reward:  -281.11 | Step Count: 31951 | Episode Q0:    47.39
Episode:  97/1000 | Episode reward:  -258.78 | Episode steps:  337 | Average reward:  -278.36 | Step Count: 32288 | Episode Q0:    45.18
Episode:  98/1000 | Episode reward:  -129.18 | Episode steps:  291 | Average reward:  -269.99 | Step Count: 32579 | Episode Q0:    45.18
Episode:  99/1000 | Episode reward:  -220.73 | Episode steps:  319 | Average reward:  -273.78 | Step Count: 32898 | Episode Q0:    45.18
Episode: 100/1000 | Episode reward:  -309.53 | Episode steps:  274 | Average reward:  -273.92 | Step Count: 33172 | Episode Q0:    45.18
Episode: 101/1000 | Episode reward:  -367.46 | Episode steps:  326 | Average reward:  -277.54 | Step Count: 33498 | Episode Q0:    45.18
Episode: 102/1000 | Episode reward:  -191.50 | Episode steps:  316 | Average reward:  -271.84 | Step Count: 33814 | Episode Q0:    45.18
Episode: 103/1000 | Episode reward:   -49.45 | Episode steps:  340 | Average reward:  -262.38 | Step Count: 34154 | Episode Q0:    45.18
Episode: 104/1000 | Episode reward:  -344.92 | Episode steps:  340 | Average reward:  -261.99 | Step Count: 34494 | Episode Q0:    54.59
Episode: 105/1000 | Episode reward:  -241.86 | Episode steps:  305 | Average reward:  -261.74 | Step Count: 34799 | Episode Q0:    54.59
Episode: 106/1000 | Episode reward:  -342.24 | Episode steps:  340 | Average reward:  -261.83 | Step Count: 35139 | Episode Q0:    54.59
Episode: 107/1000 | Episode reward:  -105.63 | Episode steps:  325 | Average reward:  -253.76 | Step Count: 35464 | Episode Q0:    54.59
Episode: 108/1000 | Episode reward:  -249.07 | Episode steps:  340 | Average reward:  -252.89 | Step Count: 35804 | Episode Q0:    54.59
Episode: 109/1000 | Episode reward:  -201.95 | Episode steps:  298 | Average reward:  -248.85 | Step Count: 36102 | Episode Q0:    54.59
Episode: 110/1000 | Episode reward:  -112.31 | Episode steps:  340 | Average reward:  -244.99 | Step Count: 36442 | Episode Q0:    54.59
Episode: 111/1000 | Episode reward:  -280.29 | Episode steps:  340 | Average reward:  -247.69 | Step Count: 36782 | Episode Q0:    58.85
Episode: 112/1000 | Episode reward:  -320.98 | Episode steps:  308 | Average reward:  -248.58 | Step Count: 37090 | Episode Q0:    58.85
Episode: 113/1000 | Episode reward:  -440.43 | Episode steps:  340 | Average reward:  -250.90 | Step Count: 37430 | Episode Q0:    58.85
Episode: 114/1000 | Episode reward:  -162.16 | Episode steps:  340 | Average reward:  -247.60 | Step Count: 37770 | Episode Q0:    58.85
Episode: 115/1000 | Episode reward:  -181.71 | Episode steps:  340 | Average reward:  -245.66 | Step Count: 38110 | Episode Q0:    58.85
