set,agent,seed,base_mass,delay_steps,stop_reason,t_end,n_steps,max_ee,rew_step_median,rew_step_min,sim_error
cdr_p4,CDR2-4,38,37.1578767345264,3,none,8.5,341,0.184500342221141,3.83163505397655,0.675251748162248,
cdr_p4,CDR2-4,89,37.6731632195663,1,none,8.5,341,0.183790344197887,3.92467972919596,-0.143250219609846,
cdr_p4,CDR2-4,39,39.9317531496327,2,none,8.5,341,0.18146838725755,3.88868751299205,-0.536665884577869,
cdr_p4,CDR2-4,55,40.6201253941848,3,none,8.5,341,0.191854022062689,3.76719409605168,-0.25719201462986,
cdr_p4,CDR2-4,58,41.5140600637765,1,none,8.5,341,0.18776954547389,5.59224539778408,1.0130709396441,
cdr_p4,CDR2-4,53,41.6033552565791,2,none,8.5,341,0.179329508093032,3.86302329950954,0.63001928259383,
cdr_p4,CDR2-4,27,42.3894894841156,1,none,8.5,341,0.181437490045023,5.60925517343848,0.657193232996511,
cdr_p4,CDR2-4,67,42.3969906352515,3,none,8.5,341,0.180547391907796,3.86720375650461,-0.29152622382919,
cdr_p4,CDR2-4,46,43.7897892651912,3,none,8.5,341,0.187306199118215,5.47885435498279,-0.658950852085195,
cdr_p4,CDR2-4,9,44.0224859119144,2,none,8.5,341,0.182149556222372,5.64662212142453,0.544621105934468,
cdr_p4,CDR2-4,94,45.8909533617929,3,none,8.5,341,0.178492224438234,3.87507141496741,1.18304331127969,
cdr_p4,CDR2-4,40,48.3824220485261,2,none,8.5,341,0.178248407069843,3.86457692797404,-0.245195054427191,
cdr_p4,CDR2-4,43,49.6357696480759,1,none,8.5,341,0.189011403646221,5.63688992296925,0.804129097083552,
cdr_p4,CDR2-4,2,50.5287503122469,2,none,8.5,341,0.183880172312042,3.8177892422428,-0.213681114570624,
cdr_p4,CDR2-4,18,51.2839108688407,2,none,8.5,341,0.179060773167692,3.89034771264545,1.09795881764242,
cdr_p4,CDR2-4,45,53.8892692901411,2,none,8.5,341,0.183866610832802,5.56719433159881,0.559346254267237,
cdr_p4,CDR2-4,8,54.0915105863061,1,none,8.5,341,0.187720211716067,5.47076190336137,0.763908120977337,
cdr_p4,CDR2-4,11,54.313045712683,3,none,8.5,341,0.187421992741212,3.83175891581546,1.14922638131795,
cdr_p4,CDR2-4,29,56.5387076311228,1,none,8.5,341,0.176492567755721,5.60432031647177,0.987446415591749,
cdr_p4,CDR2-4,84,57.1600331733521,1,none,8.5,341,0.172096156904772,5.72705594220337,1.0296682678615,
cdr_p4,CDR2-4,49,59.5720870284543,1,none,8.5,341,0.174892642944717,5.72383770494892,1.13361195393334,
cdr_p4,CDR2-4,54,59.7364617828761,1,none,8.5,341,0.179519755352662,3.84298292371999,0.693007856569305,
cdr_p4,CDR2-4,98,59.8217532656142,3,none,8.5,341,0.175385954357815,5.50736027567878,0.862181077894274,
cdr_p4,CDR2-4,66,62.7721697146671,3,none,8.5,341,0.181880269460876,3.85763381123618,-0.243827429638811,
cdr_p4,CDR2-4,92,64.3903268219218,1,none,8.5,341,0.17275889271911,5.70247179269066,0.953444859061499,
untrained,untrained1,1001,65,0,ep>0.5m,3.925,158,0.50498146178297,-2.15665722084297,-50,
untrained,untrained1,1002,65,0,ep>0.5m,3.3,133,0.505237067115845,-0.785327740359941,-50,
untrained,untrained1,1003,65,0,ep>0.5m,6.05,243,0.501938339906463,-3.27736325646342,-50,
untrained,untrained1,1004,65,0,none,8.5,341,0.372194418739312,-0.386523138764791,-3.32966507932638,
untrained,untrained1,1005,65,0,none,8.5,341,0.408327444993377,-3.0402495584214,-3.96897094379755,
untrained,untrained1,1006,65,0,ep>0.5m,4.45,179,0.502146291614297,-2.024328490702,-50,
untrained,untrained1,1007,65,0,none,8.5,341,0.428236248380194,-1.05402200576695,-4.32182804353289,
untrained,untrained1,1008,65,0,none,8.5,341,0.396428539908931,-1.399439381258,-3.73936925782092,
untrained,untrained1,1009,65,0,none,8.5,341,0.39692369002031,-0.374757813459843,-3.78778126360594,
untrained,untrained1,1010,65,0,ep>0.5m,4.55,183,0.501516825829124,-2.87745596286988,-50,
untrained,untrained1,1011,65,0,none,8.5,341,0.392147524859227,-1.05045799456282,-3.70288483108822,
untrained,untrained1,1012,65,0,none,8.5,341,0.413807131779069,-0.909271786450994,-4.10506097893322,
untrained,untrained1,1013,65,0,ep>0.5m,7.675,308,0.500976919083338,-2.67108481684605,-50,
untrained,untrained1,1014,65,0,none,8.5,341,0.408240359494642,-1.14283196342516,-3.83480589447336,
untrained,untrained1,1015,65,0,none,8.5,341,0.470196090642116,-2.78180322934017,-5.03120111038217,
untrained,untrained1,1016,65,0,none,8.5,341,0.391377793560433,-1.049840544924,-3.72268338897461,
untrained,untrained1,1017,65,0,none,8.5,341,0.399099556396121,-0.964591928717013,-3.64299881508389,
untrained,untrained1,1018,65,0,none,8.5,341,0.371055839948285,-1.36766551086489,-3.41884200893335,
untrained,untrained1,1019,65,0,none,8.5,341,0.447554351425907,-2.3995605986056,-4.70398262131836,
untrained,untrained1,1020,65,0,ep>0.5m,5.125,206,0.503137006511164,-1.78288978345266,-50,
untrained,untrained1,1021,65,0,ep>0.5m,4.375,176,0.502250441333701,-2.26968788722706,-50,
untrained,untrained1,1022,65,0,none,8.5,341,0.420636524567038,-0.954981790258691,-4.15792018369002,
untrained,untrained1,1023,65,0,none,8.5,341,0.428827922222671,-1.49775487861191,-4.24096891174193,
untrained,untrained1,1024,65,0,none,8.5,341,0.415819477439394,-1.07365363909307,-3.98189688361165,
untrained,untrained1,1025,65,0,none,8.5,341,0.414503690101617,-0.992762017340633,-3.9397026105287,
untrained,untrained1,1026,65,0,ep>0.5m,4.475,180,0.501766815542906,-1.87423991266837,-50,
untrained,untrained1,1027,65,0,none,8.5,341,0.401916126688521,-0.999161400445186,-3.80980985602901,
untrained,untrained1,1028,65,0,none,8.5,341,0.487289455335946,-1.73293467533944,-5.38899980188538,
untrained,untrained1,1029,65,0,none,8.5,341,0.426207682604934,-1.23432474197519,-4.3263263142732,
untrained,untrained1,1030,65,0,none,8.5,341,0.491371856846093,-1.54571954489139,-5.50567185183451,
untrained,untrained1,1031,65,0,none,8.5,341,0.402956172235508,-1.54796941965336,-3.96486173139288,
untrained,untrained1,1032,65,0,ep>0.5m,4.55,183,0.502794727526697,-1.43314324855268,-50,
untrained,untrained1,1033,65,0,none,8.5,341,0.439723861751055,-0.930956931919004,-4.38687213324423,
untrained,untrained1,1034,65,0,none,8.5,341,0.428408008821555,-1.6965099869714,-4.29432415655578,
untrained,untrained1,1035,65,0,none,8.5,341,0.392963394467692,-0.355653948959798,-3.70867141471173,
untrained,untrained1,1036,65,0,none,8.5,341,0.444245004324422,-1.34037396010031,-4.53729920183198,
untrained,untrained1,1037,65,0,none,8.5,341,0.381194375121646,-0.721235513731044,-3.48368112535688,
untrained,untrained1,1038,65,0,none,8.5,341,0.425020533273111,-1.36390084851161,-4.21125050378455,
untrained,untrained1,1039,65,0,none,8.5,341,0.406771062574129,-1.05106855548761,-3.95643386257437,
untrained,untrained1,1040,65,0,none,8.5,341,0.439593801084579,-2.14239021872598,-4.59325622556797,
untrained,untrained2,2001,65,0,none,8.5,341,0.441380194248942,-1.0963515568046,-4.60848580470776,
untrained,untrained2,2002,65,0,none,8.5,341,0.415301865900693,-0.985795689516366,-3.97855255549077,
untrained,untrained2,2003,65,0,none,8.5,341,0.404048886909143,-0.867392570474958,-3.89003315666165,
untrained,untrained2,2004,65,0,none,8.5,341,0.40185104167364,-1.08786359172725,-3.82595733599327,
untrained,untrained2,2005,65,0,none,8.5,341,0.470185515621987,0.0493286247716156,-5.06508010941802,
untrained,untrained2,2006,65,0,none,8.5,341,0.412590312640309,-1.52148678419483,-4.1087124006462,
untrained,untrained2,2007,65,0,none,8.5,341,0.386987101207209,-0.232631728099053,-3.59543779060189,
untrained,untrained2,2008,65,0,none,8.5,341,0.476684271309432,-3.6033818625132,-5.14750386063207,
untrained,untrained2,2009,65,0,none,8.5,341,0.401179234594033,-1.1304905481979,-3.62269452251478,
untrained,untrained2,2010,65,0,none,8.5,341,0.411596670572209,-1.2899682960584,-3.95619624629837,
untrained,untrained2,2011,65,0,none,8.5,341,0.421477989642799,-1.77046567759638,-4.03587177146404,
untrained,untrained2,2012,65,0,ep>0.5m,4.475,180,0.508582385394004,0.765143226312462,-50,
untrained,untrained2,2013,65,0,none,8.5,341,0.401723373266704,-0.818979001018199,-3.85887840120551,
untrained,untrained2,2014,65,0,none,8.5,341,0.407854362621467,-0.972544043536655,-3.93106529010886,
untrained,untrained2,2015,65,0,none,8.5,341,0.400442130202084,-0.98131303243286,-3.93506318066462,
untrained,untrained2,2016,65,0,none,8.5,341,0.3849746810767,-0.331707772183128,-3.49211392476257,
untrained,untrained2,2017,65,0,none,8.5,341,0.411898907030463,-1.6543147726254,-3.99577932803427,
untrained,untrained2,2018,65,0,none,8.5,341,0.421082405846328,-2.29356491705826,-4.07177711041854,
untrained,untrained2,2019,65,0,none,8.5,341,0.404580467352562,-1.31113992099696,-3.84106435677231,
untrained,untrained2,2020,65,0,none,8.5,341,0.419076458005361,-1.17773314857964,-4.04214462783017,
untrained,untrained2,2021,65,0,none,8.5,341,0.478169587539012,-3.28240947762308,-5.24727534507124,
untrained,untrained2,2022,65,0,none,8.5,341,0.398415820578277,-0.531809185273907,-3.77285841431647,
untrained,untrained2,2023,65,0,none,8.5,341,0.480320565801264,-0.941436397023803,-5.20739455245654,
untrained,untrained2,2024,65,0,none,8.5,341,0.411170118025083,-1.13041961097934,-3.95065731368225,
untrained,untrained2,2025,65,0,none,8.5,341,0.431397134096719,-0.908040073808854,-4.09923175284584,
untrained,untrained2,2026,65,0,none,8.5,341,0.394197093727454,-1.01839319785794,-3.74383756151466,
untrained,untrained2,2027,65,0,none,8.5,341,0.399764517360326,-1.53232562909308,-3.83610591395242,
untrained,untrained2,2028,65,0,none,8.5,341,0.471651538546993,-1.74520783487244,-5.03811852496159,
untrained,untrained2,2029,65,0,none,8.5,341,0.416845653265049,-1.16836569922701,-4.06932463911054,
untrained,untrained2,2030,65,0,none,8.5,341,0.409006345570831,-1.56331033471612,-3.96699070695155,
untrained,untrained2,2031,65,0,ep>0.5m,5.2,209,0.502370985484536,-1.10904012933682,-50,
untrained,untrained2,2032,65,0,none,8.5,341,0.39749148614293,-0.99377663601375,-3.73249394431624,
untrained,untrained2,2033,65,0,ep>0.5m,3.65,147,0.503439960334133,-1.3125110819815,-50,
untrained,untrained2,2034,65,0,none,8.5,341,0.436516941621045,-0.929614288547448,-4.35641660845474,
untrained,untrained2,2035,65,0,ep>0.5m,4.35,175,0.500537001427226,-1.7255021844942,-50,
untrained,untrained2,2036,65,0,none,8.5,341,0.363564216668611,-1.00915329797565,-3.31653280768742,
untrained,untrained2,2037,65,0,none,8.5,341,0.425655834319048,-1.44808979695508,-4.24238241956911,
untrained,untrained2,2038,65,0,none,8.5,341,0.399624611351065,-1.97189952240386,-3.7190683442283,
untrained,untrained2,2039,65,0,none,8.5,341,0.40421293543744,-1.05239094862615,-3.78537014941407,
untrained,untrained2,2040,65,0,none,8.5,341,0.402675039452739,-1.15158869966354,-3.80387574615733,
untrained,untrained3,3001,65,0,none,8.5,341,0.404920955331551,-1.49414792704552,-3.87796544768049,
untrained,untrained3,3002,65,0,none,8.5,341,0.409604878954157,-1.47759633999729,-3.9195169829045,
untrained,untrained3,3003,65,0,none,8.5,341,0.423907760047897,-0.867038332161467,-4.23128407279956,
untrained,untrained3,3004,65,0,none,8.5,341,0.425804119193361,-1.63914164707118,-4.26960221809582,
untrained,untrained3,3005,65,0,none,8.5,341,0.433979582233001,-1.00860971085134,-4.29484053196793,
untrained,untrained3,3006,65,0,ep>0.5m,4.375,176,0.500968549238771,-2.36871080007555,-50,
